Cluster,Occupation,Skills
"Installation, Maintenance, and Repair",Security and Fire Alarm Systems Installers,"['Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations']"
"Installation, Maintenance, and Repair",Signal and Track Switch Repairers,"['Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Transportation — Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations']"
"Installation, Maintenance, and Repair","Telecommunications Equipment Installers and Repairers, Except Line Installers","['Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations']"
"Installation, Maintenance, and Repair",Telecommunications Line Installers and Repairers,"['Telecommunications — Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations']"
"Installation, Maintenance, and Repair",Tire Repairers and Changers,"['Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Sales and Marketing — Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.\nRelated occupations']"
"Installation, Maintenance, and Repair",Watch and Clock Repairers,"['Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations']"
"Installation, Maintenance, and Repair",Wind Turbine Service Technicians,"['Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Building and Construction — Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations']"
Legal,"Administrative Law Judges, Adjudicators, and Hearing Officers","['Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Medicine and Dentistry — Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations']"
Legal,"Arbitrators, Mediators, and Conciliators","['English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Personnel and Human Resources — Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.\nRelated occupations', 'Psychology — Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.\nRelated occupations']"
Legal,"Judges, Magistrate Judges, and Magistrates","['Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Psychology — Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations']"
Legal,Judicial Law Clerks,"['Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations']"
Legal,Lawyers,"['Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Personnel and Human Resources — Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations']"
Legal,"Legal Support Workers, All Other",[]
Legal,Paralegals and Legal Assistants,"['Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations']"
Legal,"Title Examiners, Abstractors, and Searchers","['English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations']"
"Life, Physical, and Social Science",Agricultural Technicians,"['Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Biology — Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Geography — Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.\nRelated occupations', 'Mechanical — Knowledge of machines and tools, including their designs, uses, repair, and maintenance.\nRelated occupations', 'Personnel and Human Resources — Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.\nRelated occupations']"
"Life, Physical, and Social Science",Animal Scientists,"['Biology — Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Food Production — Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Sales and Marketing — Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations']"
"Life, Physical, and Social Science",Anthropologists and Archeologists,"['Sociology and Anthropology — Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins.\nRelated occupations', 'History and Archeology — Knowledge of historical events and their causes, indicators, and effects on civilizations and cultures.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Geography — Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations']"
"Life, Physical, and Social Science",Astronomers,"['Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations']"
"Life, Physical, and Social Science",Atmospheric and Space Scientists,"['Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Geography — Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Communications and Media — Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Public Safety and Security — Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.\nRelated occupations']"
"Life, Physical, and Social Science",Biochemists and Biophysicists,"['Biology — Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations']"
"Life, Physical, and Social Science",Bioinformatics Scientists,"['Biology — Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations']"
"Life, Physical, and Social Science","Biological Scientists, All Other",[]
"Life, Physical, and Social Science",Biological Technicians,"['Biology — Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations']"
"Life, Physical, and Social Science",Biologists,"['Biology — Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Geography — Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations']"
"Life, Physical, and Social Science",Chemical Technicians,"['Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations']"
"Life, Physical, and Social Science",Chemists,"['Chemistry — Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations', 'Production and Processing — Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.\nRelated occupations', 'Administration and Management — Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.\nRelated occupations', 'Computers and Electronics — Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Physics — Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.\nRelated occupations', 'Engineering and Technology — Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.\nRelated occupations']"
"Life, Physical, and Social Science",Climate Change Policy Analysts,"['Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Mathematics — Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.\nRelated occupations']"
"Life, Physical, and Social Science",Clinical and Counseling Psychologists,"['Psychology — Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.\nRelated occupations', 'Therapy and Counseling — Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.\nRelated occupations', 'Customer and Personal Service — Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.\nRelated occupations', 'English Language — Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.\nRelated occupations', 'Sociology and Anthropology — Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins.\nRelated occupations', 'Administrative — Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.\nRelated occupations', 'Education and Training — Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.\nRelated occupations', 'Law and Government — Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.\nRelated occupations', 'Philosophy and Theology — Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture.\nRelated occupations']"
"Life, Physical, and Social Science",Clinical Neuropsychologists,[]
